Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SBUX190315C00050000,2019-02-04 10:17AM EST,50,17.38,0,0,0,-,8,0,0.00%
SBUX190315C00052500,2019-01-25 9:30AM EST,52.5,14.67,0,0,0,-,1,0,0.00%
SBUX190315C00055000,2019-02-04 2:21PM EST,55,12.46,0,0,0,-,52,0,0.00%
SBUX190315C00057500,2019-01-25 3:50PM EST,57.5,9.5,0,0,0,-,3,0,0.00%
SBUX190315C00060000,2019-02-04 2:28PM EST,60,7.52,0,0,0,-,18,0,0.00%
SBUX190315C00062500,2019-02-04 12:35PM EST,62.5,4.92,0,0,0,-,32,0,0.00%
SBUX190315C00065000,2019-02-04 3:56PM EST,65,3.15,0,0,0,-,248,0,0.00%
SBUX190315C00067500,2019-02-04 3:52PM EST,67.5,1.48,0,0,0,-,630,0,0.00%
SBUX190315C00070000,2019-02-04 3:55PM EST,70,0.55,0,0,0,-,625,0,3.13%
SBUX190315C00072500,2019-02-04 3:58PM EST,72.5,0.14,0,0,0,-,399,0,6.25%
SBUX190315C00075000,2019-02-04 3:19PM EST,75,0.04,0,0,0,-,61,0,6.25%
SBUX190315C00080000,2019-02-04 9:41AM EST,80,0.03,0,0,0,-,1,0,12.50%
