Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SBUX190621P00030000,2019-01-31 2:03PM EST,30,0.03,0,0.06,0,-,5,315,54.69%
SBUX190621P00035000,2019-01-16 11:08AM EST,35,0.05,0.01,0.18,0,-,1,513,52.73%
SBUX190621P00040000,2019-01-31 12:42PM EST,40,0.05,0.03,0.19,0,-,1,"6,922",48.49%
SBUX190621P00043000,2019-02-05 11:45AM EST,43,0.08,0.05,0.15,-0.03,-27.27%,100,"2,262",41.16%
SBUX190621P00045000,2019-02-05 3:30PM EST,45,0.1,0.06,0.17,-0.01,-9.09%,6,"12,392",38.57%
SBUX190621P00047000,2019-02-05 3:58PM EST,47,0.12,0.12,0.17,-0.05,-29.41%,47,"4,342",35.21%
SBUX190621P00050000,2019-02-05 3:45PM EST,50,0.18,0.16,0.25,-0.08,-30.77%,25,"7,196",32.72%
SBUX190621P00052500,2019-02-05 10:47AM EST,52.5,0.3,0.25,0.33,-0.06,-16.67%,6,"2,760",30.47%
SBUX190621P00055000,2019-02-05 3:17PM EST,55,0.38,0.38,0.45,-0.21,-35.59%,13,"5,121",28.42%
SBUX190621P00057500,2019-02-05 3:17PM EST,57.5,0.59,0.57,0.64,-0.13,-18.06%,10,"2,360",26.71%
SBUX190621P00060000,2019-02-05 3:49PM EST,60,0.88,0.85,0.9,-0.32,-26.67%,22,"3,351",24.98%
SBUX190621P00062500,2019-02-05 3:50PM EST,62.5,1.31,1.2,1.32,-0.44,-25.14%,50,"3,558",23.72%
SBUX190621P00065000,2019-02-05 3:55PM EST,65,1.91,1.85,1.95,-0.69,-26.54%,"1,627","4,435",22.80%
SBUX190621P00067500,2019-02-05 3:55PM EST,67.5,2.76,2.64,2.79,-0.74,-21.14%,100,830,21.85%
SBUX190621P00070000,2019-02-05 3:39PM EST,70,3.9,3.75,3.95,-1.05,-21.21%,50,295,21.30%
SBUX190621P00072500,2019-02-05 10:04AM EST,72.5,5.8,5.2,5.35,-0.8,-12.12%,11,69,20.57%
SBUX190621P00075000,2019-02-01 1:38PM EST,75,7.8,6.9,7.35,0,-,8,94,22.12%
SBUX190621P00077500,2019-02-01 11:25AM EST,77.5,9.5,8.9,9.35,0,-,1,13,22.53%
SBUX190621P00085000,2019-01-18 3:45PM EST,85,20.7,15.7,16.35,0,-,1,4,27.39%
